chembl_id,canonical_smiles,disease,pchembl,target_name,mol,ecfp,scaffold_rdkit,mol_wt,logp,hbd,hba,tpsa,rotatable_bonds,drug_likeness_pass
CHEMBL3348817,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@H]1C[C@H]3CC[C@@H](C1)N3CCOC)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,9.770303756120384,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820580>,[0 0 1 ... 0 0 1],O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,933.1819999999998,5.309000000000006,3,12,194.79999999999998,11,False
CHEMBL159723,CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(c1ccccc1)c1ccccc1)C(=O)O,DENGUE,6.154901959985743,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD8205F0>,[0 1 1 ... 0 0 0],O=C(CNC(=O)CC(c1ccccc1)c1ccccc1)NCCC1CCCCC1,894.9760000000002,1.416500000000012,10,10,323.79999999999995,26,False
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,DENGUE,6.301116871936775,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820660>,[0 1 1 ... 0 0 0],O=C(CNC(=O)C1C2CCCC2CN1C(=O)CNC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(=O)NC1CC1,679.8629999999999,2.4459000000000035,4,8,179.56,13,False
CHEMBL3348818,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@H]1C[C@H]3CC[C@@H](C1)N3CC)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,10.03786035696906,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD8206D0>,[0 0 1 ... 0 0 1],O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,903.1559999999998,5.682500000000005,3,11,185.57,9,False
CHEMBL4516471,O=C(N[C@H]1CCCCC/C=C\C2C[C@@]2(C(=O)O)NC(=O)[C@@H]2C[C@@H](Oc3ccncc3)CN2C1=O)OC1CCCC1,DENGUE,5.3124710387853655,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820740>,[0 0 1 ... 0 0 0],O=C(NC1CCCCCC=CC2CC2NC(=O)C2CC(Oc3ccncc3)CN2C1=O)OC1CCCC1,554.6440000000001,2.9471,3,7,147.16,5,False
CHEMBL3349199,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@H]1C[C@H]3CC[C@@H](C1)N3)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,10.19897000433602,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD8207B0>,[0 0 1 ... 0 0 1],O=C1NC(C2CCCCC2)C(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,901.1400000000001,5.484400000000004,4,11,194.35999999999999,9,False
CHEMBL3349200,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@@H]1C[C@H]3CC[C@@H](C1)N3CCOC)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,8.984295767874187,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820820>,[0 0 1 ... 0 0 1],O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,933.1819999999998,5.309000000000006,3,12,194.79999999999998,11,False
CHEMBL3349201,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@@H]1C[C@H]3CC[C@@H](C1)N3CC)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,9.362229155799344,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820890>,[0 0 1 ... 0 0 1],O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,903.1559999999998,5.682500000000005,3,11,185.57,9,False
CHEMBL3349202,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@H]1C[C@H]3CC[C@@H](C1)N3CCOC)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,9.588589177348448,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820900>,[0 0 1 ... 0 0 1],O=C1NC(C2CCCCC2)C(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,959.2199999999999,5.843200000000007,3,12,194.79999999999998,12,False
CHEMBL3349203,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)O[C@@H]1C[C@H]1CCCCCc1c(nc3ccccc3c1O[C@H]1C[C@H]3CC[C@@H](C1)N3C)O2)C(=O)NS(=O)(=O)C1(C)CC1,DENGUE,9.472693472721556,NS3 protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD820970>,[0 1 1 ... 0 0 1],O=C1NC(C2CCCCC2)C(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3c(OC3CC4CCC(C3)N4)c2CCCCCC2CC2O1,915.167,5.826600000000005,3,11,185.57,9,False
