chembl_id,canonical_smiles,disease,pchembl,target_name,mol,ecfp,scaffold_rdkit,mol_wt,logp,hbd,hba,tpsa,rotatable_bonds,drug_likeness_pass
CHEMBL439520,N=C(NCCCNCCCCCCCNCCCNC(=N)NCc1ccccc1)NCc1ccccc1,LEISHMANIASIS,4.158202701125645,Trypanothione reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C5070>,[0 0 0 ... 0 0 0],N=C(NCCCNCCCCCCCNCCCNC(=N)NCc1ccccc1)NCc1ccccc1,508.75900000000007,3.524640000000005,8,4,119.88,20,False
CHEMBL522887,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,LEISHMANIASIS,4.769551078621726,Trypanothione reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C5000>,[0 0 0 ... 0 0 0],C1=CNC(Nc2ncc3ccccc3n2)=NC1,309.41700000000003,3.6085600000000024,2,5,62.2,1,True
CHEMBL501515,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,LEISHMANIASIS,3.6020599913279625,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4F90>,[0 0 0 ... 0 0 0],C1CCC(OCC2CCCC(OCC3CCC4C3CCC3C5CCC(OC6OCCCC6OC6CCCCO6)CC5CCC43)O2)OC1,1109.307,-2.202599999999981,15,23,377.2900000000001,16,False
CHEMBL503252,O=C1c2c(c3c4ccc(O)cc4n(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NCc1ccc[nH]1,LEISHMANIASIS,6.354982694318741,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4F20>,[0 0 0 ... 0 0 0],O=C1c2c(c3c4ccccc4n(OC4CCCCO4)c3c3[nH]c4ccccc4c23)C(=O)N1NCc1ccc[nH]1,629.582,0.6976000000000002,9,12,225.76,6,False
CHEMBL559342,CN(C)CCOc1cc2nc(N3CCN(C4=CC(=O)C5C=CC=CC5C4=O)CC3)nc(N)c2cc1OCCN(C)C,LEISHMANIASIS,4.958607314841775,Trypanothione reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4EB0>,[0 0 0 ... 0 0 0],O=C1C=C(N2CCN(c3ncc4ccccc4n3)CC2)C(=O)C2C=CC=CC12,561.6870000000001,1.6089000000000024,1,11,117.36,10,False
CHEMBL570399,Clc1ccc2c(N/N=C/c3ccccc3Br)ccnc2c1,LEISHMANIASIS,5.498940737782249,Cysteine protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4E40>,[0 0 0 ... 0 0 0],C(=NNc1ccnc2ccccc12)c1ccccc1,360.64200000000005,5.096700000000002,1,3,37.28,3,False
CHEMBL1095005,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C[C@]12C,LEISHMANIASIS,3.6020599913279625,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4DD0>,[0 0 0 ... 0 0 0],C1CCC(OC2CCCOC2OC2CC3C4CCCC4CCC3C3CCCCC23)OC1,785.0250000000005,2.147400000000002,9,13,218.98999999999995,9,False
CHEMBL1094689,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7O[C@@H](CO)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,LEISHMANIASIS,3.6020599913279625,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4D60>,[0 0 0 ... 0 0 0],C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCC(OC5CCCO5)C4OC4CCCCO4)CCC3C2C1,1085.2440000000004,0.3456000000000108,11,21,347.58000000000004,13,False
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,LEISHMANIASIS,4.751929718657855,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4CF0>,[0 0 0 ... 0 0 0],O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,331.34700000000004,1.5833,2,5,74.57,3,True
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,LEISHMANIASIS,5.455931955649724,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4C80>,[0 0 0 ... 0 0 0],O=c1cc[nH]c2cc(N3CCNCC3)ccc12,319.336,1.2683,2,5,74.57000000000001,3,True
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,LEISHMANIASIS,5.391258027893047,Cysteine protease,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4C10>,[0 0 0 ... 0 0 0],O=c1oc2cccc3c(=O)oc4cccc1c4c23,302.194,1.3127999999999997,4,8,141.34,0,True
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,LEISHMANIASIS,8.522878745280337,DNA topoisomerase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD7C4BA0>,[0 0 0 ... 0 0 0],O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,543.5250000000003,0.0012999999999993017,6,12,206.07,5,False
