chembl_id,canonical_smiles,disease,pchembl,target_name,mol,ecfp,scaffold_rdkit,mol_wt,logp,hbd,hba,tpsa,rotatable_bonds,drug_likeness_pass
CHEMBL502985,CC1(C)SCN(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)COc2ccccc2O)[C@@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,MALARIA,6.950781977329818,Plasmepsin II,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD9570D0>,[0 1 0 ... 0 0 0],O=C(COc1ccccc1)NC(CC(=O)N1CSCC1C(=O)NC1CCc2ccccc21)Cc1ccccc1,619.7400000000002,2.3140000000000005,5,8,148.43,10,False
CHEMBL157117,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)Nc2cccc(B(O)O)c2)C(=O)O)cc1,MALARIA,7.522878745280337,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD957060>,[0 1 0 ... 0 0 0],O=C(CCCNC(=O)c1ccc(NCc2cnc3ncncc3n2)cc1)Nc1ccccc1,573.3790000000004,-0.49769999999999714,7,12,242.79999999999995,11,False
CHEMBL573444,COc1ccccc1NC1=NC(N)=NC(C)(C)N1,MALARIA,4.0,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956FF0>,[0 0 0 ... 0 0 0],C1=NCNC(Nc2ccccc2)=N1,247.302,1.1171,3,6,84.03,2,True
CHEMBL162495,Cc1ccc(-c2cccc(C[C@H](NC[C@H](O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)c3ccccn3)C(C)C)C(N)=O)c2)cc1,MALARIA,6.031517051446065,Plasmepsin II,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956F80>,[0 1 0 ... 0 0 0],O=C(CNC(=O)c1ccccn1)NC(CCNCCc1cccc(-c2ccccc2)c1)Cc1ccccc1,621.782,3.5860200000000013,5,6,146.44,15,False
CHEMBL1160541,Cc1cc(CNC(=N)/N=C(/N)S)c(C)cc1CNC(=N)CC(=N)S,MALARIA,6.962573502059376,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956F10>,[0 0 0 ... 0 0 0],c1ccccc1,365.53200000000004,1.9363499999999996,8,3,133.99,6,False
CHEMBL1213687,CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCCCC(C)Nc3cc(OC)cc4cccnc34)cc2)cc1)[C@@H](C)CC,MALARIA,9.313543998514946,Plasmepsin II,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956EA0>,[0 1 0 ... 0 0 0],O=C(CNC(=O)CNC(=O)c1ccc(Oc2ccccc2)cc1)NCCCCNc1cccc2cccnc12,1066.3989999999992,7.53370000000001,9,12,264.23,34,False
CHEMBL1209501,CCN(CC)CCN(CC)c1cc(C)c(OCC(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)N[C@H]2c3ccccc3C[C@H]2O)c(C)c1,MALARIA,8.0,Plasmepsin II,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956E30>,[0 1 0 ... 0 0 0],O=C(COc1ccccc1)NC(CC(=O)N1CSCC1C(=O)NC1CCc2ccccc21)Cc1ccccc1,774.0409999999999,4.393340000000004,4,9,134.68,17,False
CHEMBL6696,CCC1CCc2nc(N)nc(N)c2C1,MALARIA,5.522878745280337,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956DC0>,[0 0 0 ... 0 0 0],c1ncc2c(n1)CCCC2,192.266,1.1559000000000001,2,4,77.82,1,True
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MALARIA,5.239577516576788,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956D50>,[0 0 0 ... 0 0 0],c1ccc(Cc2cncnc2)cc1,290.32300000000004,1.2575999999999998,2,7,105.51,5,True
CHEMBL6708,Nc1nc(N)c2c(Cl)c(N)ccc2n1,MALARIA,6.180002266489224,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956CE0>,[0 0 0 ... 0 0 0],c1ccc2ncncc2c1,209.64000000000001,1.0298,3,5,103.83999999999999,0,True
CHEMBL6885,Nc1ccc2nc(N)nc(N)c2c1,MALARIA,4.322912049030285,Dihydrofolate reductase,<rdkit.Chem.rdchem.Mol object at 0x0000021ACD956C70>,[0 0 0 ... 0 0 0],c1ccc2ncncc2c1,175.19500000000002,0.37640000000000007,3,5,103.83999999999999,0,True
