compound_id,vina_score_kcal_mol
CHEMBL4449181,-7.563
CHEMBL169626,-7.546
CHEMBL91055,-7.483
CHEMBL3317626,-7.305
CHEMBL227011,-7.276
CHEMBL331123,-7.121
CHEMBL216704,-7.082
CHEMBL157112,-7.066
CHEMBL32881,-7.03
CHEMBL4463218,-7.025
CHEMBL165439,-6.949
CHEMBL4441155,-6.944
CHEMBL4463355,-6.913
CHEMBL167503,-6.879
CHEMBL154040,-6.838
CHEMBL154215,-6.764
CHEMBL4444845,-6.7
CHEMBL4463590,-6.631
CHEMBL136383,-6.622
CHEMBL305129,-6.549
CHEMBL319930,-6.522
CHEMBL209216,-6.519
CHEMBL280177,-6.485
CHEMBL4443132,-6.462
CHEMBL65402,-6.391
CHEMBL306177,-6.376
CHEMBL151836,-6.342
CHEMBL66951,-6.329
CHEMBL67080,-6.318
CHEMBL134909,-6.305
CHEMBL305133,-6.296
CHEMBL80361,-6.286
CHEMBL303099,-6.25
CHEMBL78047,-6.241
CHEMBL64939,-6.215
CHEMBL68400,-6.142
CHEMBL36542,-6.135
CHEMBL303158,-6.132
CHEMBL81202,-6.041
CHEMBL65117,-6.01
CHEMBL66138,-5.939
CHEMBL173121,-5.927
CHEMBL63853,-5.818
CHEMBL63897,-5.746
CHEMBL93973,-5.608
CHEMBL65467,-5.599
CHEMBL209551,-5.583
CHEMBL94891,-5.58
CHEMBL89914,-5.446
CHEMBL330718,-5.324
