compound_id,predicted_pchembl,predicted_ic50_nM,vina_score_kcal_mol,final_score
CHEMBL305133,7.06756996192466,85.59138186450187,-6.296,0.7736489504242966
CHEMBL4449181,6.758595468759198,174.3430065926128,-7.563,0.543842970762852
CHEMBL3317626,6.783865359833006,164.48815910931015,-7.305,0.5350583765209111
CHEMBL136383,6.851691090354929,140.7047988487541,-6.622,0.5131746921579122
CHEMBL4463590,6.823892972721274,150.0054462501686,-6.631,0.47374257365752837
CHEMBL169626,6.711640379605849,194.2493706468176,-7.546,0.47148336933451807
CHEMBL4463218,6.761764941122607,173.07528637422453,-7.025,0.45240791054606433
CHEMBL4444845,6.795291830885384,160.2168427067155,-6.7,0.4438439747983044
CHEMBL227011,6.717674363713,191.56917824224516,-7.276,0.43215587173945136
CHEMBL151836,6.818297926939139,151.95047885922756,-6.342,0.4138520898394804
CHEMBL4463355,6.745343940125284,179.74468607448506,-6.913,0.4081556983708321
CHEMBL134909,6.808880309420624,155.28149032761075,-6.305,0.3933382191185627
CHEMBL65402,6.793403571056943,160.91496271263753,-6.391,0.38585301117928467
CHEMBL91055,6.661164526916228,218.190316911127,-7.483,0.3857079053148727
CHEMBL331123,6.7042056905419845,197.6033529496708,-7.121,0.38458035209185093
CHEMBL4441155,6.716874986621903,191.92211165264092,-6.944,0.3716635118659544
CHEMBL216704,6.696446370377262,201.1655595715273,-7.082,0.3661574199144001
CHEMBL66951,6.778700654552767,166.45595833139907,-6.329,0.3530698663268068
CHEMBL303099,6.786425719172027,163.5212810622593,-6.25,0.35036138538796086
CHEMBL4443132,6.76033899411358,173.64448953460325,-6.462,0.3497220856276555
CHEMBL157112,6.680488306577563,208.69483144503212,-7.066,0.33973918249310436
CHEMBL319930,6.746202014616437,179.38989901300278,-6.522,0.3395699109158881
CHEMBL80361,6.767845977286326,170.6687559118044,-6.286,0.3293624735493856
CHEMBL36542,6.785536421300667,163.85646403400798,-6.135,0.3285035770658046
CHEMBL32881,6.6715169859528,213.05072383626256,-7.03,0.3200628570383211
CHEMBL306177,6.749618260074388,177.98431846478124,-6.376,0.31853044014001597
CHEMBL65117,6.791738097235669,161.53323948532076,-6.01,0.31532807429409676
CHEMBL154040,6.684284308298444,206.87865865666868,-6.838,0.3046109709410276
CHEMBL66138,6.791738097235669,161.53323948532076,-5.939,0.30264384026104635
CHEMBL173121,6.791525247190426,161.61242719235082,-5.927,0.3001857831467796
CHEMBL280177,6.723518553173112,189.0085484519143,-6.485,0.29947090262238685
CHEMBL65467,6.830458608754245,147.75472952805262,-5.599,0.29906778287143476
CHEMBL165439,6.665356497593606,216.0943949969908,-6.949,0.296497023611464
CHEMBL167503,6.668823179559691,214.37632440403183,-6.879,0.28910950513926076
CHEMBL68400,6.748673383779306,178.37197303288093,-6.142,0.27533108731165046
CHEMBL154215,6.6728683004474965,212.38884323021963,-6.764,0.27453666645693714
CHEMBL209216,6.700428092342995,199.3296515922397,-6.519,0.27145525147634497
CHEMBL64939,6.729377886002927,186.4756432785203,-6.215,0.2598855571803809
CHEMBL63853,6.777171423061648,167.0431137957946,-5.818,0.25952141806077134
CHEMBL67080,6.710990464172742,194.54027964673736,-6.318,0.2511402079332414
CHEMBL303158,6.722395513282985,189.49793717647333,-6.132,0.23474902566387212
CHEMBL305129,6.661777846815992,217.88240138080448,-6.549,0.21975317973453456
CHEMBL209551,6.776536646897984,167.28744689438494,-5.583,0.2166012329233526
CHEMBL78047,6.678432208426271,209.685206468864,-6.241,0.18931641866935328
CHEMBL94891,6.752823637911975,176.6755134351788,-5.58,0.18105638390523052
CHEMBL93973,6.736623708658132,183.39027060520013,-5.608,0.1621417185121494
CHEMBL81202,6.673071477214825,212.28950421509265,-6.041,0.1456718224283447
CHEMBL330718,6.752823637911975,176.6755134351788,-5.324,0.13532168091282315
CHEMBL63897,6.666773211775404,215.39062091664687,-5.746,0.08367122739541968
CHEMBL89914,6.698236242427399,200.3381954650129,-5.446,0.07652657589713469
