compound_id,predicted_pchembl,predicted_ic50_nM,vina_score_kcal_mol,final_score,canonical_smiles,mol_wt,logp,hbd,hba,tpsa,rotatable_bonds,lipinski_pass,veber_pass,absorption_pass,admet_pass
CHEMBL305133,7.06756996192466,85.59138186450187,-6.296,0.7736489504242966,COc1ccc(CNC(=O)[C@H](CCOC2CCCCC2)NC(=O)OC(C)(C)C)cc1,420.5500000000002,3.9441000000000024,2.0,5.0,85.89,9.0,True,True,True,True
CHEMBL4449181,6.758595468759198,174.3430065926128,-7.563,0.543842970762852,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)C2CCCCC2)cc1,485.6500000000003,4.009700000000002,3.0,4.0,104.37,8.0,True,True,True,True
CHEMBL3317626,6.783865359833006,164.48815910931015,-7.305,0.5350583765209111,COc1ccc(-c2oc(C3CCCCC3)nc2C)cc1S(=O)(=O)N[C@H]1CC[C@H](O)CC1,448.58500000000015,4.288120000000003,2.0,6.0,101.66000000000001,6.0,True,True,True,True
CHEMBL4463590,6.823892972721274,150.0054462501686,-6.631,0.4737425736575283,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2cccs2)NC(=O)C2CCCCC2)cc1,491.6790000000003,4.071200000000003,3.0,5.0,104.37,8.0,True,True,True,True
CHEMBL4463218,6.761764941122607,173.07528637422453,-7.025,0.4524079105460643,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCCCC2)NC(=O)C2CCCCC2)cc1,491.6980000000005,4.737400000000004,3.0,4.0,104.37,8.0,True,True,True,True
CHEMBL4444845,6.795291830885384,160.2168427067155,-6.7,0.4438439747983044,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCOCC2)NC(=O)C2CCCCC2)cc1,493.67000000000047,3.583700000000001,3.0,5.0,113.60000000000002,8.0,True,True,True,True
CHEMBL4463355,6.745343940125284,179.74468607448506,-6.913,0.4081556983708321,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)C2CCCCC2)cc1,485.6500000000003,4.009700000000002,3.0,4.0,104.37,8.0,True,True,True,True
CHEMBL134909,6.808880309420624,155.28149032761075,-6.305,0.3933382191185627,COc1cccc(C(=O)CN2CCCC[C@H]2C(=O)N[C@@H](CC2CCCCC2)C(=O)OC(C)(C)C)c1,486.65300000000036,4.529300000000004,1.0,6.0,84.94000000000001,9.0,True,True,True,True
CHEMBL65402,6.793403571056943,160.91496271263753,-6.391,0.3858530111792846,COc1ccc(COC(=O)[C@H](COC(=O)C2CCCCC2)NC(=O)OC(C)(C)C)cc1,435.5170000000002,3.755200000000002,1.0,7.0,100.16000000000001,8.0,True,True,True,True
CHEMBL4441155,6.716874986621903,191.9221116526409,-6.944,0.3716635118659544,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCCCC2)NC(=O)c2ccccc2)cc1,485.6500000000003,4.470900000000004,3.0,4.0,104.37,8.0,True,True,True,True
CHEMBL216704,6.696446370377262,201.1655595715273,-7.082,0.3661574199144001,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,384.398,3.833700000000003,1.0,3.0,58.64,4.0,True,True,True,True
CHEMBL4443132,6.76033899411358,173.64448953460325,-6.462,0.3497220856276555,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CC2)NC(=O)C2CCCCC2)cc1,449.61700000000036,3.5671000000000017,3.0,4.0,104.37,8.0,True,True,True,True
CHEMBL157112,6.680488306577563,208.6948314450321,-7.066,0.3397391824931043,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(=O)NC1CCCCC1,445.60400000000027,3.5008000000000017,4.0,4.0,107.53,10.0,True,True,True,True
CHEMBL80361,6.767845977286326,170.6687559118044,-6.286,0.3293624735493856,COc1ccc(S(=O)(=O)C(C)(CC2CCCCC2)C(=O)NO)cc1,355.456,2.7034000000000002,2.0,5.0,92.7,6.0,True,True,True,True
CHEMBL36542,6.785536421300667,163.85646403400798,-6.135,0.3285035770658046,COc1cc(-c2oc(C)nc2C2CCCCC2)ccc1S(N)(=O)=O,350.44,3.353720000000001,1.0,5.0,95.41999999999999,4.0,True,True,True,True
CHEMBL65117,6.791738097235669,161.53323948532076,-6.01,0.3153280742940967,COc1ccc(COC(=O)[C@H](CC(=O)OC2CCCCCC2)NC(=O)OC(C)(C)C)cc1,449.54400000000027,4.287800000000003,1.0,7.0,100.16000000000001,8.0,True,True,True,True
CHEMBL66138,6.791738097235669,161.53323948532076,-5.939,0.3026438402610463,COc1ccc(COC(=O)[C@H](CC(=O)OC2CCCCC2)NC(=O)OC(C)(C)C)cc1,435.5170000000002,3.897700000000002,1.0,7.0,100.16000000000001,8.0,True,True,True,True
CHEMBL173121,6.791525247190426,161.61242719235082,-5.927,0.3001857831467796,COc1ccc(COC(=O)[C@H](CSCC2CCCCC2)NC(=O)OC(C)(C)C)cc1,437.60200000000026,4.945200000000004,1.0,6.0,73.86,9.0,True,True,True,True
