rank,compound_id,canonical_smiles,predicted_pchembl,predicted_ic50_nM,mol_wt,logp,hbd,hba,tpsa,rotatable_bonds
1,CHEMBL305133,COc1ccc(CNC(=O)[C@H](CCOC2CCCCC2)NC(=O)OC(C)(C)C)cc1,7.06756996192466,85.59138186450187,420.5500000000002,3.9441000000000024,2,5,85.89,9
2,CHEMBL136383,COc1cccc(C(=O)CN2CCCC[C@H]2C(=O)N[C@@H](CCC2CCCCC2)C(=O)OC(C)C)c1,6.851691090354929,140.7047988487541,486.65300000000036,4.529300000000004,1,6,84.94000000000001,11
3,CHEMBL65467,COc1ccc(CN(C)C(=O)[C@H](COCC2CCCCC2)NC(=O)OC(C)(C)C)cc1,6.830458608754245,147.75472952805262,434.5770000000002,4.143800000000003,1,5,77.10000000000001,9
4,CHEMBL4463590,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](Cc2cccs2)NC(=O)C2CCCCC2)cc1,6.823892972721274,150.0054462501686,491.6790000000003,4.071200000000003,3,5,104.37,8
5,CHEMBL151836,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@H](C=O)CCC1CCCCC1,6.818297926939139,151.95047885922756,487.6410000000004,3.6713000000000013,3,5,113.6,11
6,CHEMBL134909,COc1cccc(C(=O)CN2CCCC[C@H]2C(=O)N[C@@H](CC2CCCCC2)C(=O)OC(C)(C)C)c1,6.808880309420624,155.28149032761075,486.65300000000036,4.529300000000004,1,6,84.94000000000001,9
7,CHEMBL4444845,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCOCC2)NC(=O)C2CCCCC2)cc1,6.795291830885384,160.2168427067155,493.67000000000047,3.583700000000001,3,5,113.60000000000002,8
8,CHEMBL65402,COc1ccc(COC(=O)[C@H](COC(=O)C2CCCCC2)NC(=O)OC(C)(C)C)cc1,6.793403571056943,160.91496271263753,435.5170000000002,3.755200000000002,1,7,100.16000000000001,8
9,CHEMBL66138,COc1ccc(COC(=O)[C@H](CC(=O)OC2CCCCC2)NC(=O)OC(C)(C)C)cc1,6.791738097235669,161.53323948532076,435.5170000000002,3.897700000000002,1,7,100.16000000000001,8
10,CHEMBL65117,COc1ccc(COC(=O)[C@H](CC(=O)OC2CCCCCC2)NC(=O)OC(C)(C)C)cc1,6.791738097235669,161.53323948532076,449.54400000000027,4.287800000000003,1,7,100.16000000000001,8
11,CHEMBL173121,COc1ccc(COC(=O)[C@H](CSCC2CCCCC2)NC(=O)OC(C)(C)C)cc1,6.791525247190426,161.61242719235082,437.60200000000026,4.945200000000004,1,6,73.86,9
12,CHEMBL303099,CCC[C@@H](C(=O)N[C@@H](CC(C)C)C(N)=O)N1CC[C@@H](NCCCC2CCCCC2)C1=O,6.786425719172027,163.5212810622593,436.64100000000036,2.7223000000000015,3,4,104.53,13
13,CHEMBL36542,COc1cc(-c2oc(C)nc2C2CCCCC2)ccc1S(N)(=O)=O,6.785536421300667,163.85646403400798,350.44,3.353720000000001,1,5,95.41999999999999,4
14,CHEMBL3317626,COc1ccc(-c2oc(C3CCCCC3)nc2C)cc1S(=O)(=O)N[C@H]1CC[C@H](O)CC1,6.783865359833006,164.48815910931017,448.58500000000015,4.288120000000003,2,6,101.66000000000001,6
15,CHEMBL66951,CCC[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)N1CC[C@@](CCC)(NCCCC2CCCCC2)C1=O,6.778700654552767,166.45595833139907,478.7220000000005,3.8926000000000025,3,4,104.53,15
16,CHEMBL63853,CCC[C@@H](C(=O)N[C@@H](CC(C)C)C(N)=O)N1CC[C@@](CCC)(NCCCC2CCCCC2)C1=O,6.777171423061648,167.0431137957946,478.7220000000005,3.8926000000000025,3,4,104.53,15
17,CHEMBL209551,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCC1,6.776536646897984,167.28744689438494,358.5480000000002,3.818800000000003,3,4,67.42999999999999,8
18,CHEMBL80361,COc1ccc(S(=O)(=O)C(C)(CC2CCCCC2)C(=O)NO)cc1,6.767845977286326,170.6687559118044,355.456,2.7034000000000002,2,5,92.7,6
19,CHEMBL4463218,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCCCC2)NC(=O)C2CCCCC2)cc1,6.761764941122607,173.07528637422453,491.6980000000005,4.737400000000004,3,4,104.37,8
20,CHEMBL4443132,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CC2)NC(=O)C2CCCCC2)cc1,6.76033899411358,173.64448953460325,449.61700000000036,3.5671000000000017,3,4,104.37,8
21,CHEMBL4449181,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)C2CCCCC2)cc1,6.758595468759198,174.3430065926128,485.6500000000003,4.009700000000002,3,4,104.37,8
